" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
,"37082 CANTALPINO",         307,        8137,        6440,        5831,         608,        7136,        1970,         404,          27,         213, 2249456.084,
,"37083 CANTARACILLO",          64,        3034,        2955,        2923,          31,        3022,         484,          78,          11,          58,   759673.29,
,"37085 CARBAJOSA DE LA SAGRADA",          52,        1219,         873,         834,          38,        1218,         348,          81,           3,          31,  311456.493,
,"37086 CARPIO DE AZABA",          30,        7097,        1225,        1225,           .,        4590,        2487,          37,          21,          26,  882478.093,
,"37087 CARRASCAL DE BARREGAS",          45,        6838,        3730,        3609,         121,        6383,        1529,          54,          26,          96, 1326181.289,
,"37088 CARRASCAL DEL OBISPO",          22,        3272,         340,         340,           .,        3192,        1550,          24,           8,          22,  540682.509,
,"37089 CASAFRANCA",          64,        2841,           .,           .,           .,        2447,         542,          58,          18,           8,  410683.591,
,"37090 CASAS DEL CONDE (LAS)",          21,         135,          22,          19,           2,          22,           5,          28,           1,           1,   11467.311,
,"37091 CASILLAS DE FLORES",         102,        2819,         163,         161,           2,        2080,        1025,          95,          11,          28,  420413.977,
,"37092 CASTELLANOS DE MORISCOS",          58,        1321,        1258,        1233,          26,        1321,          56,          62,           1,          70,  322016.275,
,"37096 CASTILLEJO DE MARTIN VIEJO",         117,       11647,         876,         876,           .,        6858,        3077,         137,          22,          46, 1211153.583,
,"37097 CASTRAZ",          18,        2336,         353,         342,          11,        2286,        1235,          21,          14,          12,  527358.071,
,"37098 CEPEDA",         115,         778,         156,         136,          20,         303,         109,         182,           2,          19,  107839.602,
,"37099 CERECEDA DE LA SIERRA",          38,        1243,         157,         144,          13,         362,         246,          61,           4,           6,  111036.986,
,"37100 CEREZAL DE PEÑAHORCADA",          47,        2313,         303,         303,           .,        2010,         616,          82,           1,           9,  265400.935,
,"37101 CERRALBO",          77,        4908,        1517,        1517,           .,        4205,        1298,         106,          11,          41,  671132.187,
,"37102 CERRO (EL)",         204,        2744,         269,         242,          27,        1508,         952,         285,          11,          53,  425768.995,
,"37103 CESPEDOSA DE TORMES",         304,        4682,         293,         293,           .,        3825,        2759,         346,           5,          28,   997517.82,
,"37104 CILLEROS DE LA BASTIDA",          20,        1817,          12,           3,          10,         140,         103,          26,           5,           1,   52360.175,
,"37106 CIPEREZ",          75,        9543,         800,         799,           1,        9026,        2833,          83,          16,          89, 1202168.452,
,"37107 CIUDAD RODRIGO",         490,       23173,        6739,        5790,         949,       14683,        9992,         605,          55,         285, 4594382.941,
,"37108 COCA DE ALBA",          40,         803,         790,         750,          41,         800,         176,          46,           .,          38,  227224.646,
,"37109 COLMENAR DE MONTEMAYOR",          90,        4042,         113,         104,           9,        3793,        1132,         134,           3,          38,  520272.138,
,"37110 CORDOVILLA",          50,        1363,        1356,         928,         428,        1363,          21,          55,           2,          38,  502674.504,
,"37112 CRISTOBAL",          82,        2162,          62,          43,          19,         973,         616,         127,           3,          11,  267450.386,
,"37113 CUBO DE DON SANCHO (EL)",          66,        9194,        1084,        1071,          13,        9192,        4104,          91,          10,          41,  1516407.63,
,"37114 CHAGARCIA MEDIANERO",          28,        1345,         198,         132,          66,        1281,         940,          37,           4,          19,  398116.428,
,"37115 DIOS LE GUARDE",          45,        1432,         529,         501,          28,        1356,         340,          71,           5,          16,  246180.568,
,"37116 DOÑINOS DE LEDESMA",          28,        4084,         346,         345,           1,        3603,        1458,          50,           4,          35,  593228.998,
,"37117 DOÑINOS DE SALAMANCA",          47,        1609,        1433,        1317,         117,        1575,         355,          49,           9,          51,  451702.667,
,"37118 EJEME",          65,        1137,         958,         647,         311,        1064,         360,          75,           1,          68,  519514.863,
,"37119 ENCINA (LA)",          58,        2378,         982,         982,           .,        2038,         738,          89,           3,          24,  398795.572,
,"37120 ENCINA DE SAN SILVESTRE",          25,        1651,         392,         392,           .,        1350,         781,          39,           .,          22,  277601.481,
,"37121 ENCINAS DE ABAJO",         112,        2055,        1803,         798,        1005,        2048,         390,         203,           7,         131,  987967.738,
