" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
,"05188 POVEDA",          98,         784,          63,          63,           .,         776,         320,         113,           1,          11,  140787.085,
,"05189 POYALES DEL HOYO",         125,         217,         106,          89,          17,         139,          44,         171,           1,          15,   46235.861,
,"05190 POZANCO",          55,        1239,        1103,        1101,           2,        1202,         208,          63,           2,          28,  277529.359,
,"05191 PRADOSEGAR",         205,         916,          44,          42,           2,         835,         337,         201,           4,          18,  153648.744,
,"05192 PUERTO CASTILLA",          99,        4471,          18,           7,          11,        3920,         582,         107,           8,          14,  751427.404,
,"05193 RASUEROS",         110,        3100,        3000,        2888,         112,        3063,         612,         125,           9,          81,  823861.383,
,"05194 RIOCABADO",          77,        1549,        1305,        1290,          15,        1523,         934,          90,           5,          45,  521702.547,
,"05195 RIOFRIO",         198,        6471,          34,          25,           9,        6196,        1379,         220,           6,           7,   612190.93,
,"05196 RIVILLA DE BARAJAS",          27,        2594,        2043,        2002,          41,        2520,         649,          31,          17,          46,  539528.566,
,"05197 SALOBRAL",          33,         887,         594,         586,           7,         883,         557,          32,           4,          25,   282505.74,
,"05198 SALVADIOS",          70,        1554,        1492,        1484,           8,        1528,         399,          80,           5,          39,   342108.11,
,"05199 SAN BARTOLOME DE BEJAR",          50,        1610,          22,          17,           5,         920,         266,          62,           1,          10,  113567.247,
,"05200 SAN BARTOLOME DE CORNEJA",          60,         688,         138,         136,           3,         688,         527,          80,           1,          12,  249173.608,
,"05201 SAN BARTOLOME DE PINARES",         397,        6906,         265,         263,           2,        4013,         893,         482,           5,           3,  459756.229,
,"05204 SANCHIDRIAN",         102,        2342,        2045,        2038,           7,        2060,         932,         101,          12,          44,   648936.81,
,"05205 SANCHORREJA",          58,        4151,          25,          23,           2,        3724,        1039,          63,           3,          15,  425462.479,
,"05206 SAN ESTEBAN DE LOS PATOS",          46,         952,         178,         178,           .,         701,         248,          56,           2,          10,  137751.974,
,"05207 SAN ESTEBAN DEL VALLE",         448,        3536,         298,         261,          37,         364,         157,         745,           1,         133,  124409.506,
,"05208 SAN ESTEBAN DE ZAPARDIEL",          42,         934,         883,         766,         117,         933,         234,          57,           5,          30,  357469.979,
,"05209 SAN GARCIA DE INGELMOS",          82,        3468,         904,         900,           4,        3328,         787,          96,           7,          29,  506977.751,
,"05210 SAN JUAN DE LA ENCINILLA",          55,        1595,        1388,        1387,           1,        1583,         406,          62,           1,          29,  380098.085,
,"05211 SAN JUAN DE LA NAVA",         330,        5233,          82,          80,           2,        3777,        1046,         386,           2,          33,  431562.752,
,"05212 SAN JUAN DEL MOLINILLO",         151,        3156,          31,          10,          20,        1396,         995,         222,           1,          10,  444821.079,
,"05213 SAN JUAN DEL OLMO",         151,        3055,          14,           .,          14,        2125,         896,         149,           3,           9,  368967.341,
,"05214 SAN LORENZO DE TORMES",          86,        1112,          36,          21,          16,         660,         267,          97,           3,          16,  121476.567,
,"05215 SAN MARTIN DE LA VEGA DEL ALBERCHE",         270,        4183,         356,         319,          37,        2982,        1421,         318,           4,          31,  658336.639,
,"05216 SAN MARTIN DEL PIMPOLLAR",         100,        3683,          26,           5,          21,        2054,        1538,         123,           4,          30,  638893.897,
,"05217 SAN MIGUEL DE CORNEJA",          98,         744,          11,           1,          10,         712,         485,          95,           6,          21,  211141.562,
,"05218 SAN MIGUEL DE SERREZUELA",         246,        1883,          28,          28,           .,        1865,         940,         272,           2,          34,  370986.742,
,"05219 SAN PASCUAL",          38,        1507,         946,         911,          36,        1040,         210,          43,           5,          28,  241252.269,
,"05220 SAN PEDRO DEL ARROYO",          51,        1486,        1348,        1333,          14,        1471,         864,          60,           6,          46,   485581.72,
,"05221 SANTA CRUZ DEL VALLE",         166,        2169,          87,          76,          11,         139,          79,         264,           1,          58,   55088.769,
,"05222 SANTA CRUZ DE PINARES",         109,        3791,          38,          36,           3,        3269,         970,         122,           5,           6,   417595.23,
,"05224 SANTA MARIA DEL ARROYO",          40,        1115,         772,         772,           .,        1014,         347,          56,           9,          30,  232459.462,
,"05225 SANTA MARIA DEL BERROCAL",         189,        2858,         471,         463,           8,        2617,        1067,         216,           1,          25,  524899.931,
,"05226 SANTA MARIA DE LOS CABALLEROS",         121,        1483,         104,          92,          12,        1269,         592,         126,           5,          29,  274536.319,
,"05227 SANTA MARIA DEL TIETAR",          93,         920,         115,         106,           9,         628,         159,          96,           5,           3,  102881.252,
,"05228 SANTIAGO DEL COLLADO",         123,        4331,          44,           3,          42,        2665,        2045,         166,           3,          53,  831055.497,
